LineID	OperatorID	InServiceDate	operator
114613	1	2014	metro
114614	1	2014	metro
114135	1	2014	metro
114195	1	2014	metro
114294	1	2014	metro
114706	1	2014	metro
114647	1	2014	metro
114646	1	2014	metro
114001	1	2014	metro
114002	1	2014	metro
114003	1	2014	metro
114006	1	2014	metro
114012	1	2014	metro
114013	1	2014	metro
114017	1	2014	metro
114018	1	2014	metro
114023	1	2014	metro
114024	1	2014	metro
114033	1	2014	metro
114037	1	2014	metro
114045	1	2014	metro
114075	1	2014	metro
114077	1	2014	metro
114078	1	2014	metro
114080	1	2014	metro
114081	1	2014	metro
114082	1	2014	metro
114091	1	2014	metro
114092	1	2014	metro
114097	1	2014	metro
114098	1	2014	metro
114099	1	2014	metro
114100	1	2014	metro
114109	1	2014	metro
114110	1	2014	metro
114118	1	2014	metro
114119	1	2014	metro
114120	1	2014	metro
114121	1	2014	metro
114122	1	2014	metro
114123	1	2014	metro
114124	1	2014	metro
114131	1	2014	metro
114132	1	2014	metro
114134	1	2014	metro
114136	1	2014	metro
114138	1	2014	metro
114139	1	2014	metro
114140	1	2014	metro
114141	1	2014	metro
114142	1	2014	metro
114143	1	2014	metro
114161	1	2014	metro
114162	1	2014	metro
114164	1	2014	metro
114166	1	2014	metro
114172	1	2014	metro
114173	1	2014	metro
114180	1	2014	metro
114181	1	2014	metro
114183	1	2014	metro
114185	1	2014	metro
114186	1	2014	metro
114193	1	2014	metro
114194	1	2014	metro
114207	1	2014	metro
114208	1	2014	metro
114209	1	2014	metro
114212	1	2014	metro
114213	1	2014	metro
114214	1	2014	metro
114215	1	2014	metro
114218	1	2014	metro
114229	1	2014	metro
114230	1	2014	metro
114231	1	2014	metro
114232	1	2014	metro
114233	1	2014	metro
114234	1	2014	metro
114235	1	2014	metro
114236	1	2014	metro
114237	1	2014	metro
114238	1	2014	metro
114239	1	2014	metro
114241	1	2014	metro
114250	1	2014	metro
114254	1	2014	metro
114258	1	2014	metro
114261	1	2014	metro
114262	1	2014	metro
