,model_shape_id,gtfs_shape_id,LineID,operator,feed,service_id
954,114683,21190016,114683,1,metro,WEEKDAY
955,115361,11076021,115361,1,metro,WEEKDAY
956,115370,20026065,115370,1,metro,WEEKDAY
957,115389,21007044,115389,1,metro,WEEKDAY
958,114246,10197054,114246,1,metro,WEEKDAY
959,114030,41255453,114030,1,metro,WEEKDAY
960,114064,11073296,114064,1,metro,WEEKDAY
961,114066,11073301,114066,1,metro,WEEKDAY
962,114067,20073102,114067,1,metro,WEEKDAY
963,114676,21177117,114676,1,metro,WEEKDAY
964,114684,21192047,114684,1,metro,WEEKDAY
965,114696,30212075,114696,1,metro,WEEKDAY
967,114021,21021375,114021,1,metro,WEEKDAY
968,114044,20041241,114044,1,metro,WEEKDAY
969,115360,11076019,115360,1,metro,WEEKDAY
970,115371,20028521,115371,1,metro,WEEKDAY
971,115376,20041216,115376,1,metro,WEEKDAY
972,115387,21004561,115387,1,metro,WEEKDAY
973,115398,21178046,115398,1,metro,WEEKDAY
974,114488,11049016,114488,1,metro,WEEKDAY
975,114490,20049008,114490,1,metro,WEEKDAY
976,114610,21903018,114610,1,metro,WEEKDAY
977,115290,41271128,115290,1,metro,WEEKDAY
978,114765,11775003,114765,1,metro,WEEKDAY
979,114087,30672002,114087,1,metro,WEEKDAY
980,114626,10919004,114626,1,metro,WEEKDAY
981,114307,20237054,114307,1,metro,WEEKDAY
982,114608,21901005,114608,1,metro,WEEKDAY
983,114675,21173027,114675,1,metro,WEEKDAY
991,114636,10935017,114636,1,metro,WEEKDAY
992,114637,21935018,114637,1,metro,WEEKDAY
993,114769,11910003,114769,1,metro,WEEKDAY
994,114774,10917021,114774,1,metro,WEEKDAY
995,114394,20306016,114394,1,metro,WEEKDAY
996,114731,11312075,114731,1,metro,WEEKDAY
1021,114029,20025074,114029,1,metro,WEEKDAY
1022,114034,21003566,114034,1,metro,WEEKDAY
1023,114038,11355069,114038,1,metro,WEEKDAY
1024,114187,20015801,114187,1,metro,WEEKDAY
1025,114247,10002553,114247,1,metro,WEEKDAY
1026,114251,21002557,114251,1,metro,WEEKDAY
1027,114353,30260315,114353,1,metro,WEEKDAY
1028,114338,11025072,114338,1,metro,WEEKDAY
1029,114400,40031045,114400,1,metro,WEEKDAY
1030,114584,20075156,114584,1,metro,WEEKDAY
1031,114585,20075161,114585,1,metro,WEEKDAY
1032,114411,31330005,114411,1,metro,WEEKDAY
1033,114414,40330011,114414,1,metro,WEEKDAY
1034,114550,20068069,114550,1,metro,WEEKDAY
1035,114783,21995022,114783,1,metro,WEEKDAY
1036,114395,20308030,114395,1,metro,WEEKDAY
1037,114581,11075155,114581,1,metro,WEEKDAY
1038,114726,11304021,114726,1,metro,WEEKDAY
1039,114729,11309002,114729,1,metro,WEEKDAY
1040,114736,11372046,114736,1,metro,WEEKDAY
1048,114604,20893002,114604,1,metro,WEEKDAY
1049,115302,11066116,115302,1,metro,WEEKDAY
1050,115350,11030020,115350,1,metro,WEEKDAY
1051,115391,21032121,115391,1,metro,WEEKDAY
1052,115392,21106071,115392,1,metro,WEEKDAY
1059,114024,41213013,114024,1,metro,WEEKDAY
1060,114027,20246314,114027,1,metro,WEEKDAY
1061,114071,20823005,114071,1,metro,WEEKDAY
1062,114081,41915035,114081,1,metro,WEEKDAY
1063,114082,30916002,114082,1,metro,WEEKDAY
1071,114776,21952038,114776,1,metro,WEEKDAY
1073,114484,20048609,114484,1,metro,WEEKDAY
1074,114493,20005138,114493,1,metro,WEEKDAY
1075,114544,20067069,114544,1,metro,WEEKDAY
1076,114547,11068082,114547,1,metro,WEEKDAY
1077,114090,21673015,114090,1,metro,WEEKDAY
1078,114747,21055300,114747,1,metro,WEEKDAY
1079,114149,21121092,114149,1,metro,WEEKDAY
1080,114160,21125037,114160,1,metro,WEEKDAY
1081,114292,21221082,114292,1,metro,WEEKDAY
1082,114339,20025073,114339,1,metro,WEEKDAY
1083,114376,10003555,114376,1,metro,WEEKDAY
1084,114378,10003558,114378,1,metro,WEEKDAY
1085,114381,21003561,114381,1,metro,WEEKDAY
1086,114681,11019024,114681,1,metro,WEEKDAY
1087,114438,20373012,114438,1,metro,WEEKDAY
1088,114667,11015600,114667,1,metro,WEEKDAY
1089,114005,10119014,114005,1,metro,WEEKDAY
1095,114277,30211052,114277,1,metro,WEEKDAY
1096,114284,40217027,114284,1,metro,WEEKDAY
1099,114695,41210411,114695,1,metro,WEEKDAY
1100,114699,41214064,114699,1,metro,WEEKDAY
1101,114702,31217028,114702,1,metro,WEEKDAY
1104,115406,30271129,115406,1,metro,WEEKDAY
1105,114176,21014600,114176,1,metro,WEEKDAY
1106,114179,21014608,114179,1,metro,WEEKDAY
1107,114188,10150172,114188,1,metro,WEEKDAY
1108,114189,10150173,114189,1,metro,WEEKDAY
1109,114191,21150175,114191,1,metro,WEEKDAY
1110,114362,30271130,114362,1,metro,WEEKDAY
1111,114363,30271131,114363,1,metro,WEEKDAY
1112,114365,30271134,114365,1,metro,WEEKDAY
1113,114367,41271122,114367,1,metro,WEEKDAY
1114,114628,11927018,114628,1,metro,WEEKDAY
1115,114629,11927019,114629,1,metro,WEEKDAY
1116,114630,20927020,114630,1,metro,WEEKDAY
1117,114594,31008022,114594,1,metro,WEEKDAY
1118,114595,40008020,114595,1,metro,WEEKDAY
1119,114651,10101094,114651,1,metro,WEEKDAY
1120,114753,11601005,114753,1,metro,WEEKDAY
1121,114432,21036379,114432,1,metro,WEEKDAY
1122,114704,41219020,114704,1,metro,WEEKDAY
1123,114280,30214066,114280,1,metro,WEEKDAY
