,Unnamed: 0,LineID,TransLineNo,Mode,Description,EditNotes,Processing,short_name,long_name,shape_id,route_id,frood_of_payment,ft_mode,id,route_id1,vehicle_name,proof_of_payment
80,80,4109,MK_105,b,105 Renton Hub - Re*,11105009,1105,MK_105,105 Renton Hub - Re*,11105009,1105,0,b,4109,1105,b1,0
81,81,4110,MK_105,b,105 Renton Hub - Re*,20105010,1105,MK_105,105 Renton Hub - Re*,20105010,1105,0,b,4110,1105,b1,0
82,82,4254,MK_2,b,2 Route 2,21002563,1002,MK_2,2 Route 2,21002563,1002,0,b,4254,1002,b1,0
83,83,4416,MK_331,b,331 S03: Kenmore - *,30331029,1331,MK_331,331 S03: Kenmore - *,30331029,1331,0,b,4416,1331,b1,0
84,84,4420,MK_345,b,345 NTC - SCC,11345014,1345,MK_345,345 NTC - SCC,11345014,1345,0,b,4420,1345,b1,0
85,85,4851,PT48Na,b,48 Sheridan-M St NB,FEB14-484160,2048,PT48Na,48 Sheridan-M St NB,FEB14-484160,2048,0,b,4851,2048,b1,0
86,86,4852,PT48S,b,48 Sheridan-M St SB,FEB14-485161,2048,PT48S,48 Sheridan-M St SB,FEB14-485161,2048,0,b,4852,2048,b1,0
87,87,5123,KT17N,b,17 Silvrdale East NB,17m_kmh_T02,4017,KT17N,17 Silvrdale East NB,17m_kmh_T02,4017,0,b,5123,4017,b1,0
88,88,5124,KT17S,b,17 Silvrdale East SB,17e_kmh_T07,4017,KT17S,17 Silvrdale East SB,17e_kmh_T07,4017,0,b,5124,4017,b1,0
89,89,5126,KT20E,b,20 Navy Yard City EB,20ns_T01,4020,KT20E,20 Navy Yard City EB,20ns_T01,4020,0,b,5126,4020,b1,0
90,90,5127,KT20Ea,b,20 Navy Yard City,20s_T01,4020,KT20Ea,20 Navy Yard City,20s_T01,4020,0,b,5127,4020,b1,0
91,91,4644,MK_988,p,988 Lakeside School*,10988020,1988,MK_988,988 Lakeside School*,10988020,1988,0,p,4644,1988,p1,0
92,92,4650,MK_1,b,1 kinnear,11001027,1001,MK_1,1 kinnear,11001027,1001,0,b,4650,1001,b1,0
93,93,5262,KT81,b,81 Annapolis Commut*,81pm_T01,4081,KT81,81 Annapolis Commut*,81pm_T01,4081,0,b,5262,4081,b1,0
94,94,5263,KT81,b,81 Annapolis Commut*,81pm_T02,4081,KT81,81 Annapolis Commut*,81pm_T02,4081,0,b,5263,4081,b1,0
95,95,5332,MK_4,b,Judkins / E QA,10004558,1004,MK_4,Judkins / E QA,10004558,1004,0,b,5332,1004,b1,0
96,96,5080,KT26W,b,26 West ParkW,26take_T02,4026,KT26W,26 West ParkW,26take_T02,4026,0,b,5080,4026,b1,0
97,97,4006,MK_12,b,12 interlaken park,10012004,1012,MK_12,12 interlaken park,10012004,1012,0,b,4006,1012,b1,0
98,98,4018,MK_183,b,183 Kent/Federal Wa*,21183042,1183,MK_183,183 Kent/Federal Wa*,21183042,1183,0,b,4018,1183,b1,0
99,99,4023,MK_213,b,213 Covenant Shores*,30213014,1213,MK_213,213 Covenant Shores*,30213014,1213,0,b,4023,1213,b1,0
100,100,4078,MK_914,b,914 Kent Shopper Sh*,30914005,1914,MK_914,914 Kent Shopper Sh*,30914005,1914,0,b,4078,1914,b1,0
101,101,4080,MK_915,b,915 Auburn/Enumclaw*,30915033,1915,MK_915,915 Auburn/Enumclaw*,30915033,1915,0,b,4080,1915,b1,0
102,102,4119,MK_107,b,107 Rainier Beach/R*,10107016,1107,MK_107,107 Rainier Beach/R*,10107016,1107,0,b,4119,1107,b1,0
103,103,4120,MK_107,b,107 Rainier Beach/R*,21107015,1107,MK_107,107 Rainier Beach/R*,21107015,1107,0,b,4120,1107,b1,0
104,104,4164,MK_13,b,13 seattle pacific *,11013018,1013,MK_13,13 seattle pacific *,11013018,1013,0,b,4164,1013,b1,0
105,105,4166,MK_13,b,13 seattle pacific *,20013020,1013,MK_13,13 seattle pacific *,20013020,1013,0,b,4166,1013,b1,0
106,106,4207,MK_164,b,164 GGreen River Co*,30164022,1164,MK_164,164 GGreen River Co*,30164022,1164,0,b,4207,1164,b1,0
107,107,4208,MK_164,b,164 GGreen River Co*,41164020,1164,MK_164,164 GGreen River Co*,41164020,1164,0,b,4208,1164,b1,0
108,108,4212,MK_168,b,168 Timberlane - Ke*,30168033,1168,MK_168,168 Timberlane - Ke*,30168033,1168,0,b,4212,1168,b1,0
109,109,4213,MK_168,b,168 Timberlane - Ke*,41168032,1168,MK_168,168 Timberlane - Ke*,41168032,1168,0,b,4213,1168,b1,0
110,110,4238,MK_187,b,187 Federal Way/Twi*,21187012,1187,MK_187,187 Federal Way/Twi*,21187012,1187,0,b,4238,1187,b1,0
111,111,4239,MK_187,b,187 Federal Way/Twi*,21187013,1187,MK_187,187 Federal Way/Twi*,21187013,1187,0,b,4239,1187,b1,0
112,112,4258,MK_201,b,201 West Mercer Way*,10201030,1201,MK_201,201 West Mercer Way*,10201030,1201,0,b,4258,1201,b1,0
113,113,4314,MK_240,b,240 Bellevue\Renton,11240078,1240,MK_240,240 Bellevue\Renton,11240078,1240,0,b,4314,1240,b1,0
114,114,4315,MK_240,b,240 Bellevue\Renton,11240079,1240,MK_240,240 Bellevue\Renton,11240079,1240,0,b,4315,1240,b1,0
115,115,4319,MK_240,b,240 Bellevue\Renton,20240083,1240,MK_240,240 Bellevue\Renton,20240083,1240,0,b,4319,1240,b1,0
116,116,4599,MK_887,b,887 Bellevue SD New*,10887003,1887,MK_887,887 Bellevue SD New*,10887003,1887,0,b,4599,1887,b1,0
117,117,4351,MK_26,b,26 Latona,20026063,1026,MK_26,26 Latona,20026063,1026,0,b,4351,1026,b1,0
118,118,4371,MK_28,b,28 Broadview,20028522,1028,MK_28,28 Broadview,20028522,1028,0,b,4371,1028,b1,0
119,119,4463,MK_43,b,43 cbd/u-district,11043047,1043,MK_43,43 cbd/u-district,11043047,1043,0,b,4463,1043,b1,0
120,120,4464,MK_43,b,43 cbd/u-district,11043048,1043,MK_43,43 cbd/u-district,11043048,1043,0,b,4464,1043,b1,0
121,121,4467,MK_43,b,43 cbd/u-district,20043050,1043,MK_43,43 cbd/u-district,20043050,1043,0,b,4467,1043,b1,0
122,122,4468,MK_44,b,44 ballard/montlake,11044011,1044,MK_44,44 ballard/montlake,11044011,1044,0,b,4468,1044,b1,0
123,123,4015,MK_167,b,167 Auburn-Kent-Ren*,21167335,1167,MK_167,167 Auburn-Kent-Ren*,21167335,1167,0,b,4015,1167,b1,0
124,124,4501,540,b,540 Univ Dst-Kirklnd,41540521,6540,540,540 Univ Dst-Kirklnd,41540521,6540,0,b,4501,6540,b1,0
125,125,4529,MK_61,b,61 Ballard - North *,20061014,1061,MK_61,61 Ballard - North *,20061014,1061,0,b,4529,1061,b1,0
126,126,4536,MK_65,b,65 NTC to UW,20065082,1065,MK_65,65 NTC to UW,20065082,1065,0,b,4536,1065,b1,0
127,127,4611,MK_906,b,906 Southcenter/Fai*,30906004,1906,MK_906,906 Southcenter/Fai*,30906004,1906,0,b,4611,1906,b1,0
128,128,4612,MK_906,b,906 Southcenter/Fai*,41906001,1906,MK_906,906 Southcenter/Fai*,41906001,1906,0,b,4612,1906,b1,0
129,129,4182,MK_140,b,140 Renton to Burien,41140079,1140,MK_140,140 Renton to Burien,41140079,1140,0,b,4182,1140,b1,0
130,130,4615,MK_908,b,908 Renton Highland*,11908016,1908,MK_908,908 Renton Highland*,11908016,1908,0,b,4615,1908,b1,0
131,131,4618,MK_909,b,909 Highlands/Kenny*,20909010,1909,MK_909,909 Highlands/Kenny*,20909010,1909,0,b,4618,1909,b1,0
132,132,4085,MK_A Line,b,A Line A-Line Rapid*,10671007,1671,MK_A Line,A Line A-Line Rapid*,10671007,1671,0,b,4085,1671,b1,0
133,133,4220,MK_178,b,178 South Fed Way &*,10178043,1178,MK_178,178 South Fed Way &*,10178043,1178,0,b,4220,1178,b1,0
134,134,4221,MK_179,b,179 Twin Lakes P&R *,10179034,1179,MK_179,179 Twin Lakes P&R *,10179034,1179,0,b,4221,1179,b1,0
135,135,4274,MK_21,b,21 35  Av SW/Arbor *,10021372,1021,MK_21,21 35  Av SW/Arbor *,10021372,1021,0,b,4274,1021,b1,0
136,136,4909,PT501Ea,b,501 Milton-Federal *,FEB14-5014205,2501,PT501Ea,501 Milton-Federal *,FEB14-5014205,2501,0,b,4909,2501,b1,0
137,137,4910,PT501W,b,501 Milton-Federal *,FEB14-5015210,2501,PT501W,501 Milton-Federal *,FEB14-5015210,2501,0,b,4910,2501,b1,0
138,138,4928,WFEDKa,f,WSF EDMNDS-KNGSTN EB,128,5999,WFEDKa,WSF EDMNDS-KNGSTN EB,128,5999,0,f,4928,5999,f1,0
139,139,4929,WFEDKb,f,WSF EDMNDS-KNGSTN WB,812,5999,WFEDKb,WSF EDMNDS-KNGSTN WB,812,5999,0,f,4929,5999,f1,0
140,140,4936,WFSBRb,f,WSF SEA-BREMERTON WB,74,5999,WFSBRb,WSF SEA-BREMERTON WB,74,5999,0,f,4936,5999,f1,0
141,141,4939,WFFAVa,f,WSF FAUNTLR-VASHN EB,229,5999,WFFAVa,WSF FAUNTLR-VASHN EB,229,5999,0,f,4939,5999,f1,0
142,142,4036,MK_312,p,312 Woodinville/Bot*,11312074,1312,MK_312,312 Woodinville/Bot*,11312074,1312,0,p,4036,1312,p1,0
143,143,4419,MK_342,b,342 Renton/Shorelin*,20342035,1342,MK_342,342 Renton/Shorelin*,20342035,1342,0,b,4419,1342,b1,0
144,144,5107,KT11Ea,b,11 Crosstown Ltd,11wb_T10,4011,KT11Ea,11 Crosstown Ltd,11wb_T10,4011,0,b,5107,4011,b1,0
145,145,5113,KT12E,b,12 Silverdale West,12np_T02,4012,KT12E,12 Silverdale West,12np_T02,4012,0,b,5113,4012,b1,0
146,146,5114,KT12Ea,b,12 Silverdale West,12p_T01,4012,KT12Ea,12 Silverdale West,12p_T01,4012,0,b,5114,4012,b1,0
147,147,5134,KT21S,b,21 Perry Avenue,21_T02,4021,KT21S,21 Perry Avenue,21_T02,4021,0,b,5134,4021,b1,0
148,148,5135,KT22E,b,22 Gateway Exp EB,22_T01,4022,KT22E,22 Gateway Exp EB,22_T01,4022,0,b,5135,4022,b1,0
149,149,5154,KT35E,b,35 Old Town Shuttle,35_T05,4035,KT35E,35 Old Town Shuttle,35_T05,4035,0,b,5154,4035,b1,0
