,Unnamed: 0,LineID,TransLineNo,Mode,Description,EditNotes,Processing,short_name,long_name,shape_id,route_id,frood_of_payment,ft_mode,id,route_id1,vehicle_name,proof_of_payment
184,184,5093,KT91W,b,91 Kingston/Bainbri*,91k_dh_T01,4091,KT91W,91 Kingston/Bainbri*,91k_dh_T01,4091,0,b,5093,4091,b1,0
185,185,4056,MK_62,b,62 SODO-Ballard Rev*,20062022,1062,MK_62,62 SODO-Ballard Rev*,20062022,1062,0,b,4056,1062,b1,0
186,186,4410,MK_33,b,33 Ft Lawton,20033056,1033,MK_33,33 Ft Lawton,20033056,1033,0,b,4410,1033,b1,0
187,187,4413,MK_330,b,330 Lake City - Sho*,40330006,1330,MK_330,330 Lake City - Sho*,40330006,1330,0,b,4413,1330,b1,0
188,188,4226,MK_180,b,180 Auburn  Kent  S*,21180098,1180,MK_180,180 Auburn  Kent  S*,21180098,1180,0,b,4226,1180,b1,0
189,189,4443,MK_4,b,4 Judkins / E QA,10004560,1004,MK_4,4 Judkins / E QA,10004560,1004,0,b,4443,1004,b1,0
190,190,4722,MK_301,p,301 Aurora Village-*,11301126,1301,MK_301,301 Aurora Village-*,11301126,1301,0,p,4722,1301,p1,0
191,191,4724,MK_301,b,301 Aurora Village-*,20301134,1301,MK_301,301 Aurora Village-*,20301134,1301,0,b,4724,1301,b1,0
192,192,4782,MK_994,p,994 Downtown/Magnol*,21994011,1994,MK_994,994 Downtown/Magnol*,21994011,1994,0,p,4782,1994,p1,0
193,193,5055,435North,b,desc needed,435-nb-Weekday,3435,435North,desc needed,435-nb-Weekday,3435,0,b,5055,3435,b1,0
194,194,5048,415North,b,desc needed,415-nb-Weekday,3415,415North,desc needed,415-nb-Weekday,3415,0,b,5048,3415,b1,0
195,195,4539,MK_66,p,66 5 & Main to NTC,20066117,1066,MK_66,66 5 & Main to NTC,20066117,1066,0,p,4539,1066,p1,0
196,196,4679,MK_18,p,18 North Beach/Down*,11018492,1018,MK_18,18 North Beach/Down*,11018492,1018,0,p,4679,1018,p1,0
197,197,4032,MK_277,b,277 Totem Lake/U Di*,41277014,1277,MK_277,277 Totem Lake/U Di*,41277014,1277,0,b,4032,1277,b1,0
198,198,4049,540,b,540 Kirkland U Dist*,41540520,6540,540,540 Kirkland U Dist*,41540520,6540,0,b,4049,6540,b1,0
199,199,4337,MK_25,b,25 Laurelhurst-Lake*,11025071,1025,MK_25,25 Laurelhurst-Lake*,11025071,1025,0,b,4337,1025,b1,0
200,200,4399,MK_31,b,31 Magnolia to Univ*,40031044,1031,MK_31,31 Magnolia to Univ*,40031044,1031,0,b,4399,1031,b1,0
201,201,4407,MK_33,b,33 Ft Lawton,11033054,1033,MK_33,33 Ft Lawton,11033054,1033,0,b,4407,1033,b1,0
202,202,4546,MK_68,b,68 Northgate to UW *,11068081,1068,MK_68,68 Northgate to UW *,11068081,1068,0,b,4546,1068,b1,0
203,203,4551,MK_68,b,68 Northgate to UW *,20068085,1068,MK_68,68 Northgate to UW *,20068085,1068,0,b,4551,1068,b1,0
204,204,4719,MK_29,b,29 Ballard - West Q*,11029011,1029,MK_29,29 Ballard - West Q*,11029011,1029,0,b,4719,1029,b1,0
205,205,4723,MK_301,p,301 Aurora Village-*,11301129,1301,MK_301,301 Aurora Village-*,11301129,1301,0,p,4723,1301,p1,0
206,206,4734,MK_342,b,342 Renton/Shorelin*,11342034,1342,MK_342,342 Renton/Shorelin*,11342034,1342,0,b,4734,1342,b1,0
207,207,4733,MK_342,b,342 Renton/Shorelin*,11342031,1342,MK_342,342 Renton/Shorelin*,11342031,1342,0,b,4733,1342,b1,0
208,208,5009,196East,b,196 Edmonds-Ald Mall,196-eb-Weekday,3196,196East,196 Edmonds-Ald Mall,196-eb-Weekday,3196,0,b,5009,3196,b1,0
209,209,5017,105South,b,105 Both-Mariner P&R,105-nb-Weekday,3105,105South,105 Both-Mariner P&R,105-nb-Weekday,3105,0,b,5017,3105,b1,0
210,210,5037,280West,b,280 Gran Falls-Evt,14SEP-Weekday-280w-2,3280,280West,280 Gran Falls-Evt,14SEP-Weekday-280w-2,3280,0,b,5037,3280,b1,0
211,211,5239,ET17,b,17 Mall Stn-Evt Stn,RT701NB01,7701,ET17,17 Mall Stn-Evt Stn,RT701NB01,7701,0,b,5239,7701,b1,0
212,212,5229,ET3,b,3 South to W Casino*,RT3NB02_VR,7003,ET3,3 South to W Casino*,RT3NB02_VR,7003,0,b,5229,7003,b1,0
213,213,5286,MK_542,b,542 test,30542010,6542,MK_542,542 test,30542010,6542,0,b,5286,6542,b1,0
214,214,4273,MK_21,p,21 35  Av SW/Arbor *,10021353,1021,MK_21,21 35  Av SW/Arbor *,10021353,1021,0,p,4273,1021,p1,0
215,215,4509,MK_55,b,55 W. Sea. Admiral *,10055287,1055,MK_55,55 W. Sea. Admiral *,10055287,1055,0,b,4509,1055,b1,0
216,216,4299,MK_232,b,232 Bellevue/Redmond,41232105,1232,MK_232,232 Bellevue/Redmond,41232105,1232,0,b,4299,1232,b1,0
217,217,4300,MK_232,b,232 Bellevue/Redmond,41232106,1232,MK_232,232 Bellevue/Redmond,41232106,1232,0,b,4300,1232,b1,0
218,218,4476,MK_47,b,47 Summit,20047008,1047,MK_47,47 Summit,20047008,1047,0,b,4476,1047,b1,0
219,219,5087,KT90BN,b,90B Poulsbo All Sto*,90B_T01,4090,KT90BN,90B Poulsbo All Sto*,90B_T01,4090,0,b,5087,4090,b1,0
220,220,5088,KT90BNa,b,90B Poulsbo All Sto*,90B_T02,4090,KT90BNa,90B Poulsbo All Sto*,90B_T02,4090,0,b,5088,4090,b1,0
221,221,5101,KT97W,b,97 Crystal SpringsW,97f_T01,4097,KT97W,97 Crystal SpringsW,97f_T01,4097,0,b,5101,4097,b1,0
